step,D_loss,G_loss,D_x,D_G_z1,D_G_z2
0,1.8161920309066772,1.181612491607666,0.324862003326416,0.42889392375946045,0.3360420763492584
50,0.21543776988983154,4.024274826049805,0.8943961262702942,0.09012600779533386,0.02076445147395134
100,0.08151710033416748,4.7237653732299805,0.9726223349571228,0.04426177591085434,0.03480955958366394
150,0.19772231578826904,3.615786552429199,0.9068156480789185,0.07931068539619446,0.03428046405315399
200,0.16876220703125,3.889967679977417,0.8977249264717102,0.043138809502124786,0.02430596388876438
250,0.16810332238674164,3.9150748252868652,0.9050917625427246,0.05337744951248169,0.024837728589773178
300,0.4216907024383545,4.267123222351074,0.8845945596694946,0.21879607439041138,0.019836317747831345
350,0.17502161860466003,3.678795337677002,0.9281271696090698,0.08729287981987,0.03614811226725578
400,0.178091362118721,3.2151663303375244,0.9010502099990845,0.04926169663667679,0.052771441638469696
450,0.1865542083978653,3.8253612518310547,0.8751682043075562,0.039436787366867065,0.03174363076686859
500,0.0399482399225235,4.780721664428711,0.9885581135749817,0.02673911862075329,0.014321934431791306
550,0.4914558231830597,3.5663952827453613,0.8904410004615784,0.28683769702911377,0.0397769995033741
600,0.4035876989364624,1.7718796730041504,0.7352725267410278,0.052316632121801376,0.22506564855575562
650,0.24076516926288605,3.5707755088806152,0.9278839826583862,0.14161771535873413,0.04234268143773079
700,0.28497979044914246,2.5182290077209473,0.8220481872558594,0.06428922712802887,0.10304031521081924
750,0.342620313167572,2.77559232711792,0.8822997808456421,0.1682947427034378,0.09527663141489029
800,0.26033851504325867,2.9568557739257812,0.9077824354171753,0.13644254207611084,0.07373544573783875
850,0.39653486013412476,2.2541425228118896,0.772092342376709,0.08742424845695496,0.1452660858631134
900,0.3067515194416046,3.0333242416381836,0.8863285779953003,0.14939561486244202,0.07132725417613983
950,0.17083650827407837,3.4278106689453125,0.923089861869812,0.07983402907848358,0.050004132091999054
1000,0.26650434732437134,2.990001916885376,0.9156257510185242,0.15168383717536926,0.06888298690319061
1050,0.5764071941375732,1.4718607664108276,0.7148406505584717,0.1753794252872467,0.27864497900009155
1100,0.3581586480140686,2.631287097930908,0.8818087577819824,0.18508900701999664,0.09892754256725311
1150,0.7136484384536743,1.3226220607757568,0.7206448316574097,0.28285491466522217,0.29901525378227234
1200,0.38311201333999634,1.5821216106414795,0.7710835933685303,0.08825607597827911,0.2429913431406021
1250,0.3755156397819519,1.9608690738677979,0.7683510780334473,0.08142384886741638,0.1749170571565628
1300,0.4006739556789398,2.1816797256469727,0.8329013586044312,0.1769787073135376,0.1404644250869751
1350,0.310187429189682,2.2495880126953125,0.8758257627487183,0.1484072357416153,0.12861786782741547
1400,0.7705819606781006,1.9041646718978882,0.7562300562858582,0.34906041622161865,0.18395835161209106
1450,0.17232754826545715,2.6713900566101074,0.9159649014472961,0.07462514936923981,0.08858073502779007
1500,0.31878572702407837,1.9298827648162842,0.7997978925704956,0.06860388815402985,0.18572263419628143
1550,0.3243945837020874,2.393958806991577,0.8329343199729919,0.11067098379135132,0.11597831547260284
1600,1.1990892887115479,1.0964164733886719,0.4397614002227783,0.21121622622013092,0.3917202949523926
1650,0.6990534663200378,2.7184159755706787,0.9090197682380676,0.4075172543525696,0.08969567716121674
1700,0.30803513526916504,2.223968982696533,0.8516993522644043,0.11848609149456024,0.13806623220443726
1750,0.5190492868423462,1.5226571559906006,0.7558239698410034,0.18523681163787842,0.2548977732658386
1800,0.42800790071487427,1.690474033355713,0.7224093079566956,0.06645680218935013,0.22817769646644592
1850,0.6564458608627319,2.402125358581543,0.8577507734298706,0.36314302682876587,0.11093392968177795
1900,0.17607158422470093,2.993319511413574,0.9186054468154907,0.07969599962234497,0.07174904644489288
1950,0.2843094766139984,2.64699649810791,0.8255726099014282,0.07590505480766296,0.09211493283510208
2000,0.732975959777832,2.2539243698120117,0.9169670343399048,0.4351584315299988,0.13176937401294708
2050,1.8963429927825928,0.7301605939865112,0.24120692908763885,0.03843323513865471,0.5468468070030212
2100,0.5127781629562378,1.4542423486709595,0.7242521047592163,0.1329641044139862,0.28202730417251587
2150,0.9725585579872131,1.0970702171325684,0.4388408660888672,0.04489913955330849,0.37683218717575073
2200,1.120326042175293,1.0715680122375488,0.394817590713501,0.051413461565971375,0.38232308626174927
2250,0.7826648950576782,4.581992149353027,0.9374022483825684,0.46728575229644775,0.014112657867372036
2300,0.44618165493011475,3.2357778549194336,0.9391798973083496,0.2890371084213257,0.05503540486097336
2350,0.20767539739608765,3.050121545791626,0.9317671060562134,0.12017166614532471,0.0637216567993164
2400,0.5382421016693115,2.2843947410583496,0.7884554862976074,0.22158092260360718,0.13459035754203796
2450,0.5141552090644836,1.8111265897750854,0.778624951839447,0.20505160093307495,0.19284909963607788
2500,0.5951254367828369,1.831010341644287,0.7231206893920898,0.20202825963497162,0.1995682567358017
2550,1.473645806312561,3.6091294288635254,0.9735558032989502,0.7055792808532715,0.04067362844944
2600,0.5449399948120117,2.7765512466430664,0.8647117018699646,0.2993580102920532,0.08078314363956451
2650,0.30563345551490784,2.2923009395599365,0.8855064511299133,0.1549665331840515,0.1288633942604065
2700,0.575798511505127,1.2261837720870972,0.6520059108734131,0.09417092800140381,0.3461403250694275
2750,0.546353280544281,1.8023279905319214,0.77061527967453,0.21226800978183746,0.20135998725891113
2800,0.608942449092865,1.1528489589691162,0.6330004930496216,0.08851698040962219,0.3642268776893616
2850,0.49025899171829224,1.5730305910110474,0.6953079104423523,0.08428911864757538,0.24830597639083862
2900,0.3885442018508911,1.956350564956665,0.7977122664451599,0.13043354451656342,0.16430258750915527
2950,0.42823535203933716,2.3050687313079834,0.875546395778656,0.23572173714637756,0.12436544895172119
3000,0.49626749753952026,1.6231800317764282,0.7226458191871643,0.12519052624702454,0.23503001034259796
3050,0.9644947648048401,0.6252615451812744,0.47564035654067993,0.09040816128253937,0.57393479347229
